symbol,name
500002.NS,ABB India Limited
500003.NS,Aegis Logistics Ltd.
500008.NS,Amara Raja Energy & Mobility Limited
500009.NS,Ambalal Sarabhai Enterprise Ltd.
500012.NS,Andhra Petrochemicals Ltd.
500013.NS,Ansal Properties & Infrastructure Ltd.
500014.NS,UTIQUE ENTERPRISES LIMITED
500016.NS,Aruna Hotels Ltd.
500020.NS,Bombay Dyeing & Mfg. Co. Ltd.
500023.NS,Asian Hotels (North) Limited
500027.NS,Atul Limited.
500028.NS,ATV Projects India Ltd
500031.NS,Bajaj Electricals Ltd.
500032.NS,Bajaj Hindusthan Sugar Limited
500033.NS,Force Motors Limited
500034.NS,Bajaj Finance Limited
500038.NS,Balrampur Chini Mills Ltd.
500039.NS,Banco Products (India) Ltd.
500040.NS,ADITYA BIRLA REAL ESTATE LIMITED
500041.NS,Bannari Amman Sugars Ltd.
500042.NS,BASF India Ltd
500043.NS,Bata India Limited
500048.NS,BEML Ltd
500049.NS,Bharat Electronics Ltd.
500052.NS,Bhansali Engineering Polymers Ltd.
500058.NS,Bihar Sponge Iron Ltd
500059.NS,Binani Industries Limited
500060.NS,Birla Cable Limited
500067.NS,Blue Star Ltd
500068.NS,Disa India Ltd.
500069.NS,QUEST CAPITAL MARKETS LIMITED
500074.NS,BPL Ltd.
500078.NS,ORIENTAL AROMATICS LIMITED
500083.NS,Century Extrusions Ltd.
500084.NS,CESC Limited
500085.NS,Chambal Fertilisers & Chemicals Ltd
500086.NS,Exide Industries Ltd.
500087.NS,Cipla Ltd.
500089.NS,DIC India Ltd
500092.NS,CRISIL Ltd.
500093.NS,CG Power and Industrial Solutions Limited
500096.NS,Dabur India Ltd.
500097.NS,Dalmia Bharat Sugar and Industries Ltd
500101.NS,Arvind Ltd.
500103.NS,Bharat Heavy Electricals Ltd.
500104.NS,Hindustan Petroleum Corporation Ltd
500106.NS,IFCI Ltd.
500108.NS,Mahanagar Telephone Nigam Ltd.
500109.NS,Mangalore Refinery & Petrochemicals
500110.NS,Chennai Petroleum Corporation Ltd.
500112.NS,State Bank Of India
500113.NS,Steel Authority of India Ltd.
500114.NS,Titan Company Limited
500116.NS,IDBI Bank Ltd
500117.NS,DCW Ltd.
500119.NS,Dhampur Sugar Mills Ltd.
500120.NS,Diamines & Chemicals Ltd.
500123.NS,Elantas Beck India Ltd
500124.NS,Dr. Reddy's Laboratories Ltd.
500125.NS,E.I.D. Parry (India) Ltd.
500126.NS,PROCTER & GAMBLE HEALTH LIMITED
500128.NS,Electrosteel Castings Ltd.
500133.NS,Esab India Ltd.
500135.NS,EPL LIMITED
500136.NS,Ester Industries Ltd.
500142.NS,FGP Ltd
500143.NS,P.H. Capital Ltd.
500144.NS,Finolex Cables Ltd.
500147.NS,JOHN COCKERILL INDIA LIMITED
500148.NS,Uflex Limited
500150.NS,Foseco India Ltd
500151.NS,Golden Tobacco Ltd.
500153.NS,Ganesh Benzoplast Ltd.
500159.NS,Metroglobal Limited
500160.NS,GTL Ltd
500163.NS,Godfrey Phillips India Ltd.
500164.NS,Godrej Industries Ltd.
500165.NS,Kansai Nerolac Paints
500166.NS,Goodricke Group Ltd.
500168.NS,Goodyear India Ltd.
500170.NS,GTN Industries Limited
500171.NS,GHCL Ltd.
500173.NS,GFL LIMITED
500174.NS,Gujarat Lease Financing Limited
500179.NS,HCL Infosystems Ltd
500180.NS,HDFC Bank Ltd.
500182.NS,Hero MotoCorp Limited
500183.NS,HFCL LIMITED
500184.NS,Himadri Speciality Chemical Ltd.
500185.NS,Hindustan Construction Co. Ltd.
500186.NS,Hindustan Oil Exploration Co. Ltd.
500187.NS,AGI GREENPAC LIMITED
500188.NS,Hindustan Zinc Ltd.
500189.NS,NDL Ventures Limited
500191.NS,HMT Limited
500192.NS,Prag Bosimi Synthetics Ltd.
500193.NS,HLV LIMITED
500199.NS,IG Petrochemicals Ltd
500201.NS,India Glycols Ltd
500202.NS,India Lease Devl. Ltd.
500206.NS,Margo Finance Limited
500207.NS,Indo Rama Synthetics (India) Ltd.
500209.NS,Infosys Ltd
500210.NS,Ingersoll-Rand (India) Ltd.
500213.NS,International Travel House Ltd
500214.NS,Ion Exchange (India) Ltd
500215.NS,Agro Tech Foods Ltd
500219.NS,Jain Irrigation Systems Ltd.
500220.NS,Jasch Industries Ltd.
500227.NS,Jindal Poly Films Ltd.
500228.NS,JSW Steel Limited
500231.NS,Umang Dairies Limited
500233.NS,Kajaria Ceramics Ltd
500234.NS,Kakatiya Cement Sugar & Industries Ltd.
500235.NS,Kalyani Steels Ltd
500238.NS,Whirlpool of India Ltd
500239.NS,K.G.Denim Ltd
500240.NS,Kinetic Engineering Ltd.
500241.NS,Kirloskar Brothers Ltd.
500243.NS,Kirloskar Industries Ltd
500245.NS,Kirloskar Ferrous Industries Ltd.
500246.NS,Envair Electrodyne Ltd.
500247.NS,Kotak Mahindra Bank Ltd.
500248.NS,KRISHNA FILAMENT INDUSTRIES LIMITED
500249.NS,KSB LIMITED
500250.NS,L.g.Balkrishnan & Bros. Ltd.
500251.NS,Trent Ltd [Lakme Ltd]
500252.NS,LMW Limited
500253.NS,Lic Housing Finance Ltd.
500257.NS,Lupin Ltd
500259.NS,Lyka Labs Ltd.
500260.NS,The Ramco Cements Limited
500262.NS,HYBRID FINANCIAL SERVICES LIMITED
